Issuer_Name,State_Abb,Jurisdiction_Type,Entity_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,lat,lng,formatted_address,place_id,location_type,geo_source,match_method
Ocoee Utility District/The,TN,SPECIAL_DISTRICT,Special district,Ocoee,Ocoee,35.1434804,-84.7707154,"375 Rymer Rd, Cleveland, TN 37323, USA",ChIJS-8zVYAyXogRUuzZG1W2LXk,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Ohio Air Quality Development Authority,OH,STATE,Development corporation,Ohio,State of Ohio,40.0060889,-83.0282624,"281 W Lane Ave, Columbus, OH 43210, USA",ChIJs6fo3Y-OOIgRj4dWIQjYLKs,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Ohio Higher Educational Facility Commission,OH,STATE,Financing authority,Ohio,State of Ohio,40.0060889,-83.0282624,"281 W Lane Ave, Columbus, OH 43210, USA",ChIJs6fo3Y-OOIgRj4dWIQjYLKs,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Ohio State University/The,OH,STATE,Public university,Ohio,State of Ohio,40.0060889,-83.0282624,"281 W Lane Ave, Columbus, OH 43210, USA",ChIJs6fo3Y-OOIgRj4dWIQjYLKs,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Ohio Water Development Authority,OH,STATE,State agency,Ohio,State of Ohio,40.0060889,-83.0282624,"281 W Lane Ave, Columbus, OH 43210, USA",ChIJs6fo3Y-OOIgRj4dWIQjYLKs,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Ohio Water Development Authority Water Pollution Control Loan Fund,OH,STATE,State agency,Ohio,State of Ohio,40.0060889,-83.0282624,"281 W Lane Ave, Columbus, OH 43210, USA",ChIJs6fo3Y-OOIgRj4dWIQjYLKs,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Oklahoma Capitol Improvement Authority,OK,STATE,State agency,Oklahoma,State of Oklahoma,35.492221,-97.5032462,"2300 N Lincoln Blvd, Oklahoma City, OK 73105, USA",ChIJBys1_0EXsocRYFOn_n3K2BM,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Oklahoma Development Finance Authority,OK,STATE,Financing authority,Oklahoma,State of Oklahoma,35.492221,-97.5032462,"2300 N Lincoln Blvd, Oklahoma City, OK 73105, USA",ChIJBys1_0EXsocRYFOn_n3K2BM,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Oklahoma Water Resources Board,OK,STATE,State agency,Oklahoma,State of Oklahoma,35.492221,-97.5032462,"2300 N Lincoln Blvd, Oklahoma City, OK 73105, USA",ChIJBys1_0EXsocRYFOn_n3K2BM,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Old Gainesboro Road Utility District of Jackson & Putnam Counties,TN,SPECIAL_DISTRICT,Special district,Old Gainesboro Road,Old Gainesboro Road,36.2011501,-85.6148416,"Old Gainesboro Rd, Tennessee, USA",EiFPbGQgR2FpbmVzYm9ybyBSZCwgVGVubmVzc2VlLCBVU0EiLiosChQKEgk1idNcJeBmiBG86F_HD4nOdxIUChIJmwdNvKseZ4gRvKBEn73vLjo,GEOMETRIC_CENTER,GoogleGeocodingAPI,EXACT_ISSUER
Onondaga County Resource Recovery Agency,NY,COUNTY,Authority/Agency,"Onondaga County, NY","Onondaga County, NY",40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,APPROXIMATE,GoogleGeocodingAPI,FUZZY_ISSUER
Opelika Utilities Board,AL,CITY,Public utility,Opelika,City of Opelika,32.6481971,-85.3767776,"204 S 7th St, Opelika, AL 36801, USA",ChIJsxJwCD-TjIgR4Mi0qZkxFRk,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
