year,fips7,city_name,state_dem_governor,state_dem_legislature,state_dem_trifecta,state_govt_trifecta,state_legis_control,state_rep_trifecta
2013,603666,baldwin park,1.0,1.0,1.0,Dem,Dem,0.0
2017,603666,baldwin park,1.0,1.0,1.0,Dem,Dem,0.0
2022,603666,baldwin park,1.0,1.0,1.0,Dem,Dem,0.0
2013,606000,berkeley,1.0,1.0,1.0,Dem,Dem,0.0
2014,606000,berkeley,1.0,1.0,1.0,Dem,Dem,0.0
2015,606000,berkeley,1.0,1.0,1.0,Dem,Dem,0.0
2016,606000,berkeley,1.0,1.0,1.0,Dem,Dem,0.0
2017,606000,berkeley,1.0,1.0,1.0,Dem,Dem,0.0
2018,606000,berkeley,1.0,1.0,1.0,Dem,Dem,0.0
2022,606000,berkeley,1.0,1.0,1.0,Dem,Dem,0.0
2013,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2014,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2015,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2016,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2017,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2018,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2019,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2020,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2021,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2022,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2023,611194,carlsbad,1.0,1.0,1.0,Dem,Dem,0.0
2013,611530,carson,1.0,1.0,1.0,Dem,Dem,0.0
2017,611530,carson,1.0,1.0,1.0,Dem,Dem,0.0
2019,611530,carson,1.0,1.0,1.0,Dem,Dem,0.0
2020,611530,carson,1.0,1.0,1.0,Dem,Dem,0.0
2021,611530,carson,1.0,1.0,1.0,Dem,Dem,0.0
2022,611530,carson,1.0,1.0,1.0,Dem,Dem,0.0
2023,611530,carson,1.0,1.0,1.0,Dem,Dem,0.0
2017,612048,cathedral city,1.0,1.0,1.0,Dem,Dem,0.0
2019,612048,cathedral city,1.0,1.0,1.0,Dem,Dem,0.0
2020,612048,cathedral city,1.0,1.0,1.0,Dem,Dem,0.0
2021,612048,cathedral city,1.0,1.0,1.0,Dem,Dem,0.0
2022,612048,cathedral city,1.0,1.0,1.0,Dem,Dem,0.0
2023,612048,cathedral city,1.0,1.0,1.0,Dem,Dem,0.0
2013,613210,chino,1.0,1.0,1.0,Dem,Dem,0.0
2017,613210,chino,1.0,1.0,1.0,Dem,Dem,0.0
2022,613210,chino,1.0,1.0,1.0,Dem,Dem,0.0
2013,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2014,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2015,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2016,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2017,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2018,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2019,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2020,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2021,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2022,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2023,613392,chula vista,1.0,1.0,1.0,Dem,Dem,0.0
2013,614890,colton,1.0,1.0,1.0,Dem,Dem,0.0
2017,614890,colton,1.0,1.0,1.0,Dem,Dem,0.0
2022,614890,colton,1.0,1.0,1.0,Dem,Dem,0.0
2013,615044,compton,1.0,1.0,1.0,Dem,Dem,0.0
2017,615044,compton,1.0,1.0,1.0,Dem,Dem,0.0
2022,615044,compton,1.0,1.0,1.0,Dem,Dem,0.0
2022,616532,costa mesa,1.0,1.0,1.0,Dem,Dem,0.0
2013,621712,el cajon,1.0,1.0,1.0,Dem,Dem,0.0
2017,621712,el cajon,1.0,1.0,1.0,Dem,Dem,0.0
2022,621712,el cajon,1.0,1.0,1.0,Dem,Dem,0.0
