CUSIP,Issuer_Name,Issue_Date,primary_prospectus,n_prospectus_matches,match_kind,prospectus_total_words,green_section_chars,n_green_keywords,green_keyword_density_per_1k,n_frameworks_cited,frameworks_cited,has_SPO,spo_verifiers,bloomberg_self_reported_green,bloomberg_esg_assurance,bloomberg_esg_framework,bloomberg_project_category,bloomberg_industry,city_fips7,State
852660FE4,City of Stamford CT Water Pollution Control System & Facility Revenue,2020-12-09,P21417099-P21101135-P21510519,1,full,196605,0,114,0.58,0,,0,,--,No,No,Sustainable Water,Water/Sewer,973000.0,CT
812643UV4,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,1,full,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
812643UL6,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,1,full,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
013630EE4,City of Albuquerque NM Refuse Removal & Disposal Revenue,2020-06-30,RE1353388-RE1052206-RE1461006,1,prefix+suffix,80277,0,18,0.224,0,,0,,--,No,No,Sustainable Water,Solid Waste,3502000.0,NM
094725LX4,City of Bloomington IN Sewage Works Revenue,2020-12-23,P31405898-P31093081-P31502131,1,prefix+suffix,49619,6472,28,0.564,1,Sustainable Development Goals,0,,Yes,Yes,No,Sustainable Water,Water/Sewer,1805860.0,IN
4095587V9,City of Hampton VA,2020-12-02,P21416519-P21100709-P21510052,1,prefix+suffix,99752,8000,449,4.501,0,,0,,Yes,Yes,Yes,Sustainable Water,General Obligation,5135000.0,VA
86754EAG1,Sunnyvale Financing Authority,2020-11-12,P21413204-P21094842-P21503807,1,prefix+suffix,140498,0,148,1.053,0,,0,,Yes,No,No,"Renewable Energy, Green Buildings",Appropriation,677000.0,CA
013630EN4,City of Albuquerque NM Refuse Removal & Disposal Revenue,2020-06-30,RE1353388-RE1052206-RE1461006,1,prefix+suffix,80277,0,18,0.224,0,,0,,--,No,No,Sustainable Water,Solid Waste,3502000.0,NM
094725MJ4,City of Bloomington IN Sewage Works Revenue,2020-12-23,P31405898-P31093081-P31502131,1,prefix+suffix,49619,6472,28,0.564,1,Sustainable Development Goals,0,,Yes,Yes,No,Sustainable Water,Water/Sewer,1805860.0,IN
852660FF1,City of Stamford CT Water Pollution Control System & Facility Revenue,2020-12-09,P21417099-P21101135-P21510519,1,full,196605,0,114,0.58,0,,0,,--,No,No,Sustainable Water,Water/Sewer,973000.0,CT
755562DU6,Reading Area Water Authority,2020-03-26,ES1358289-ES1058443-ES1464084,1,full,36037,5020,18,0.499,1,Sustainable Development Goals,1,Climate Bond Initiative,Yes,No,No,Sustainable Water,Water/Sewer,4263624.0,PA
86754EAF3,Sunnyvale Financing Authority,2020-11-12,P21413204-P21094842-P21503807,1,prefix+suffix,140498,0,148,1.053,0,,0,,Yes,No,No,"Renewable Energy, Green Buildings",Appropriation,677000.0,CA
755562DN2,Reading Area Water Authority,2020-03-26,ES1358289-ES1058443-ES1464084,1,full,36037,5020,18,0.499,1,Sustainable Development Goals,1,Climate Bond Initiative,Yes,No,No,Sustainable Water,Water/Sewer,4263624.0,PA
79771FFG7,City of San Francisco CA Public Utilities Commission Water Revenue,2020-01-09,P11837901-P11408439-P11850619,1,full,179295,8000,385,2.147,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,Sustainable Water,Water/Sewer,667000.0,CA
812643UN2,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,1,full,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
812643UX0,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,1,full,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
793071TP6,City of St Paul MN Sewer Revenue,2020-03-11,ER1312402-ER1022705-ER1428839,1,full,95788,2151,87,0.908,0,,0,,Yes,No,Yes,Sustainable Water,Water/Sewer,2758000.0,MN
79765R4Y2,City of San Francisco CA Public Utilities Commission Water Revenue,2020-01-09,ER1294533-ES1040166-ES1443450,2,prefix+suffix,378671,8000,278,0.734,2,Climate Bonds Standard;Sustainable Development Goals,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,Sustainable Water,Water/Sewer,667000.0,CA
